Dealership Name,Dealership Number,ESHOP Price Match,New SRP CTA,New SRP CTA Top,New VDP CTA,New  VDP CTA Top,No E-Shop Found,CTA,CPOV CTA,CPOV CTA Top,COLP,Used SRP CTA,Used SRP CTA Top,Website Provider,Trade-In Provider,Tag,Competitive Dr Tool,Dealer Group,Syndication Provider,Base URL,Primary Email,Billing Code
K&S Alfa Romeo of San Diego,69404,No,FALSE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer On,,Missing Credit App Data,,,,ksalfaromeo.com,test@test.com,92860
Perkins Motors,38356,Yes,FALSE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer Inspire,Black Book,,White Label,,,https://www.perkinsmotors.biz/,test@test.com,58301
Ron Tonkin CJDRF,60706,Yes,FALSE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,White Label,,vAuto,https://www.rontonkindodge.net,test@test.com,95993
Shaver Chrysler Dodge Jeep Ram FIAT,24124,Yes,FALSE,FALSE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,Black Book,,,,vAuto,https://www.shaverauto.com,test@test.com,97070
Tacoma Dodge Chrysler Jeep Ram,45465,No,FALSE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,FALSE,FALSE,Dealer Inspire,Black Book,National Dealer Council,,,vAuto,https://www.tacomadodge.com,test@test.com,89113
Turlock Chrysler Dodge Jeep Ram,45565,Yes,FALSE,FALSE,FALSE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,Black Book,,,,,https://www.turlockchryslerdodgejeepram.com,test@test.com,97504
Aaron Chrysler Dodge Jeep Ram,45846,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,EDPA Issue,Captial One,,vAuto,https://www.aaroncdjr.com/,test@test.com,85023
Aberdeen Chrysler Center,67906,No,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.aberdeenchrysler.com,test@test.com,80112
Advantage Dodge-Chry-Jeep,66802,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,vAuto,https://www.advantagedodge.com,test@test.com,80121
Alfa Romeo of Omaha,69322,Yes,TRUE,TRUE,TRUE,TRUE,,Custom,TRUE,FALSE,FALSE,TRUE,TRUE,Dealer Inspire,Black Book,Missing Credit App Data,,,,https://www.alfaromeoomaha.com,test@test.com,80112
Alfa Romeo of San Jose,69424,Yes,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,,"Revert: 3 Months Free,Missing Credit App Data",,,,sjalfaromeo.com,test@test.com,80123
Alfa Romeo of Seattle,69341,No,TRUE,TRUE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,,,,,,https://www.alfaromeoofseattle.com,test@test.com,95661
Antioch Chrysler Jeep Dodge RAM,44684,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,Captial One,,,https://www.antiochchryslerjeepdodge.com,test@test.com,91355
Auburn Chrysler Dodge Jeep Ram,45675,No,TRUE,TRUE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.auburnjeep.com,test@test.com,98502
Autonation Chrysler Dodge Jeep Ram Carlsbad,27352,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,autonationchryslerdodgejeepramcarlsbad.com,test@test.com,97701
Autonation Chrysler Dodge Jeep Ram North Phoenix,43531,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.autonationchryslerdodgejeepramnorthphoenix.com,test@test.com,98204
Autonation Chrysler Dodge Jeep Ram Roseville,42947,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.autonationchryslerdodgejeepramroseville.com,test@test.com,89502
Autonation Chrysler Dodge Jeep Ram Southwest,45474,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,TradePending,,,https://www.autonationchryslerdodgejeepramsouthwest.com,test@test.com,80905
Autonation Chrysler Dodge Jeep Ram Valencia,26974,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.autonationchryslerdodgejeepramvalencia.com,test@test.com,99501
Autonation Chrysler Jeep Arapahoe,60666,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.autonationchryslerjeeparapahoe.com,test@test.com,94509
Autonation Chrysler Jeep Broadway,68250,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,TradePending,,,https://www.autonationchryslerjeepbroadway.com,test@test.com,59937
Autonation Dodge Ram Arapahoe,43718,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,TradePending,,,https://www.autonationdodgeramarapahoe.com,test@test.com,95136
Autonation Dodge Ram Broadway,45872,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,http://autonationdodgerambroadway.com/,test@test.com,90503
Autonation Dodge Ram Colorado Springs,45871,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,http://autonationdodgeramcoloradosprings.com/,test@test.com,94010
Autoworld,67870,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer On,Black Book,,,,,https://www.autoworlddodge.com,test@test.com,95380
Bakersfield Chrysler Jeep FIAT,60026,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.drivecj.com,test@test.com,96813
Bender Chrysler Dodge Jeep,66997,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,Dealer.com,,,https://www.benderchryslerdodge.net,test@test.com,96782
Berthod Motors Inc,24243,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,EZ-Docs Enrollment,,,,https://www.berthodmotors.net,test@test.com,94596
Bravo Chrysler Dodge Jeep Ram of Alhambra,27035,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer On,Black Book,,,,,https://www.bravocdjrofalhambra.com/,test@test.com,98057
"Broadway Chrysler, Dodge, Jeep, Inc.",45382,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.broadwaychrysler.net,test@test.com,91740
Butte Chrysler Jeep Dodge Ram,45772,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.buttedodge.com/,test@test.com,95337
Cabral Chrysler Jeep Dodge Ram FIAT,24187,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,TradePending,,,https://www.cabralchryslerjeepdodge.com,test@test.com,93313
Carson Chrysler Jeep Dodge,43508,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.carsonchryslerdodge.com,test@test.com,88240
Cedar City Chrysler Dodge Jeep Ram,45657,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer On,Black Book,,,,,https://www.cedarcitychryslerdodgejeepram.com,test@test.com,88210
Champion Alfa Romeo FIAT,69080,No,TRUE,TRUE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Pixel Motion,,,,,,https://www.championalfaromeo.com/,test@test.com,88220
Charbonneau Chrysler Center,43485,Yes,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,FALSE,FALSE,Dealer On,Black Book,,,,,https://www.charbonneaucc.com,test@test.com,85297
Chrysler Dodge Jeep Ram FIAT Santa Barbara,60735,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.santabarbaracdjrf.com,test@test.com,92675
Chrysler Dodge Jeep Ram Morgan Hill,60871,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Team Velocity,Black Book,,,Cardinale Auto Group,,https://www.morganhill-cdjr.com/,test@test.com,98532
Chrysler Dodge Jeep Ram of Seattle,60644,No,TRUE,TRUE,TRUE,TRUE,,Custom,TRUE,TRUE,FALSE,TRUE,TRUE,Dealer eProcess,Black Book,,,,,https://www.seattlejeep.com/,test@test.com,85142
Chrysler Jeep Dodge Ram of Renton,60752,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer eProcess,Black Book,,Captial One,,,https://www.rentoncdjr.com,test@test.com,95240
Classic Motors Inc,44414,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,vAuto,https://www.classicmo.com,test@test.com,97838
Coastline Chrysler Dodge Jeep Ram,27175,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,http://www.coastlinecdjr.com/,test@test.com,96766
Columbus Motor Company,26883,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.columbusmotorcompanyne.com,test@test.com,98371
Cutter Chrysler Dodge Jeep Ram FIAT,45472,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,Black Book,,,,,https://www.cutterchryslerjeepdodgeramhonolulu.com,test@test.com,98002
Cutter Chrysler Jeep Dodge of Pearl City,45473,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.cutterdodgechryslerjeepofpearlcity.com,test@test.com,89014
Dave Smith Motors,42604,Yes,TRUE,FALSE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.davesmithmotors.net,test@test.com,95212
Dependable Chrysler Dodge Jeep Ram,59766,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.depcdjr.com,test@test.com,68025
Desert 215 Superstore,60917,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,FALSE,FALSE,Dealer Inspire,Black Book,"EDPA Issue,Missing Credit App Data",,Lithia Motors Inc,Max Digital,https://www.desert215superstore.com,test@test.com,92570
Devils Lake Chrysler Dodge Jeep Ram,60899,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer On,Black Book,EDPA Issue,,,,https://www.devilslakechryslercenter.net,test@test.com,90755
Dick's Chrysler Jeep Dodge of Wilsonville,60920,Yes,TRUE,TRUE,TRUE,TRUE,,Custom,TRUE,TRUE,TRUE,TRUE,TRUE,Dealer On,Black Book,"Problem Customer,Homenet Pilot",,,HomeNet,http://dickscjdrwilsonville.com/,test@test.com,57580
Doug Smith Chrysler Dodge Jeep Ram,26998,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,vAuto,https://www.dougsmithchryslerdodgejeepramspanishfork.com,test@test.com,81601
Doug Smith Chrysler Jeep Dodge,68009,No,TRUE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,vAuto,https://www.dougsmithchryslerjeepdodge.com,test@test.com,91362
Dwayne Lane's Chrysler Jeep Dodge,67847,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,TRUE,TRUE,FALSE,TRUE,TRUE,Dealer eProcess,Black Book,,,,,https://www.dwaynelanechryslerjeepdodge.com,test@test.com,91791
Earnhardt Chrysler Jeep Dodge Ram,43389,Yes,TRUE,TRUE,TRUE,TRUE,,Payment Options,TRUE,TRUE,TRUE,TRUE,TRUE,Dealer On,Black Book,,,,HomeNet,https://eshop.earnhardtcdjr.com/,test@test.com,83202
Earnhardt Queen Creek CDJR,60737,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer On,Black Book,,,,HomeNet,https://eshop.queencreekcdjr.com/,test@test.com,95603
Elko Chrysler Dodge Jeep Ram,26837,No,TRUE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.elkododgechryslerjeepram.com,test@test.com,57401
Envision Chrysler Dodge Jeep Ram of West Covina,27197,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.westcovinacdjr.com/,test@test.com,86442
Eureka Chrysler Dodge Jeep Ram FIAT,27316,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,Missing Credit App Data,,,,https://www.driveeureka.com/,test@test.com,27316
Flower Motor Co Inc,42957,No,TRUE,FALSE,FALSE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.flowermotor.net,test@test.com,95129
"Frontier Motors Automotive Group, Inc.",60626,Yes,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,Black Book,,,,,https://www.frontiermotorscdjr.com/,test@test.com,94087
Garcia Alfa Romeo Albuquerque,69382,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,,Missing Credit App Data,,,,https://www.garciaalfaromeo.com,test@test.com,91204
Gene Steffy Auto Group,66771,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,KBB,,,,,https://www.genesteffy.com,test@test.com,91748
Gilroy Chrysler Dodge Jeep Ram,60866,No,FALSE,FALSE,FALSE,FALSE,,Payment Options,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer.com,Black Book,,,,vAuto,https://www.gilroycdjr.com/,test@test.com,84003
Glenn E Thomas Dodge Chrysler Jeep,52912,No,TRUE,TRUE,TRUE,FALSE,,Custom,TRUE,TRUE,TRUE,TRUE,TRUE,Pixel Motion,Black Book,EZ-Docs Enrollment,,,,https://www.getdodge.com,test@test.com,84660
Hanlees Chrysler Dodge Jeep Ram of Napa,27008,No,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.hanleescdjrofnapa.com,test@test.com,68601
Heritage Chrysler Dodge Jeep Ram of Brigham,67291,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,FALSE,FALSE,Dealer On,Black Book,,,,,https://www.heritagebrigham.com,test@test.com,94952
Heritage Chrysler Dodge Jeep Ram of Logan,41400,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer On,Black Book,,,,,https://www.heritagecdjr.com,test@test.com,94588
I-5 Chrysler Jeep Dodge Ram,60642,No,TRUE,TRUE,TRUE,TRUE,,Custom,TRUE,TRUE,TRUE,TRUE,TRUE,Dealer On,Black Book,,,,,https://www.i-5dodge.com,test@test.com,91304
"Iverson Chrysler Center, Inc.",36315,No,TRUE,TRUE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.iversonchrysler.com,test@test.com,95037
Jack Powell Chrysler Dodge Jeep Ram,61339,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.jackpowell.com,test@test.com,85390
Jim Falk Chrysler Dodge Jeep Ram FIAT,26843,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer.com,Black Book,Homenet Enrollment,,,HomeNet,https://www.jimfalkchryslerjeepdodgeram.com,test@test.com,94559
Jim Manning Dodge Chrysler Jeep,59029,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.jimmanningdodgechryslerjeep.com,test@test.com,98022
Jones Chrysler Dodge Jeep Ram,60521,No,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer On,Black Book,,,,,https://www.joneschryslerdodgejeepram.com,test@test.com,98409
Joshua Tree Chrysler Dodge Jeep Ram,27322,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer eProcess,Black Book,EDPA Issue,,,,https://www.joshuatreecdjr.com/,test@test.com,68310
Kamaaina Motors,6018,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Pixel Motion,,Missing Credit App Data,,,,https://www.kamaainamotors.com,test@test.com,98801
Karl Malone Chrysler Dodge Jeep Ram,26857,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.malonechryslerdodgejeep.com,test@test.com,97267
King Chrysler Dodge Jeep Ram,60675,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.kingcdjr.com,test@test.com,92029
Larson Chrysler Jeep Dodge,59577,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer eProcess,Black Book,,,,,https://www.larsondodge.com,test@test.com,93618
Lithia Chrysler Dodge Jeep Ram FIAT of Tri-Cities,44848,No,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,Lithia Motors Inc,,https://www.lithiadodgetricities.com,test@test.com,84302
Lithia Chrysler Dodge Jeep Ram of Bend,60849,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer On,KBB,,,Lithia Motors Inc,,https://www.lithiacdjrbend.com/,test@test.com,84341
Lithia Chrysler Dodge Jeep Ram of Twin Falls,45311,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer.com,Black Book,,Gubagoo,Lithia Motors Inc,Max Digital,https://www.twinfallsdodge.com,test@test.com,95695
Lithia Chrysler Dodge Jeep RAM of Yuba City,27281,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,FALSE,TRUE,FALSE,Dealer.com,Black Book,EDPA Issue,,Lithia Motors Inc,,https://www.johnlsullivandodgechrysler.com,test@test.com,83837
Lithia Chrysler Jeep Dodge of Klamath Falls,68840,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,Revert: 3 Months Free,,Lithia Motors Inc,Max Digital,https://www.lithiaklamathfalls.com,test@test.com,58601
Lithia Chrysler Jeep Dodge of Pocatello,68939,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,Lithia Motors Inc,Max Digital,https://www.lithiachryslerpocatello.com,test@test.com,59701
Lithia Chrysler Jeep Dodge Ram FIAT,59564,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,Lithia Motors Inc,Max Digital,https://www.lithiachryslermedford.com,test@test.com,81401
Lithia Chrysler Jeep of Reno,60115,Yes,TRUE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,KBB,,,Lithia Motors Inc,Max Digital,https://www.lithiachryslerreno.com,test@test.com,81303
Livermore Alfa Romeo,69368,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,,Missing Credit App Data,,,,https://www.livermorealfaromeo.com,test@test.com,57201
Lodi Chrysler Dodge Jeep Ram,27019,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,KBB,EDPA Issue,,,,www.lodicdjr.com,test@test.com,84115
Morehart Murphy Regional Auto Center,24241,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.morehartmurphycdj.com,test@test.com,57301
Mossy Chrysler Dodge Jeep Ram,27327,Yes,TRUE,TRUE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,FALSE,FALSE,Dealer eProcess,Black Book,,Captial One,,Dealer eProcess,mossychryslerdodgejeepram.com,test@test.com,68763
Mt Home Chrysler Jeep Dodge LLC,60049,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.mthomechryslerjeepdodge.com,test@test.com,97603
Normandin Chrysler Dodge Jeep Ram FIAT,8564,Yes,TRUE,TRUE,TRUE,TRUE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.normandinchryslerjeep.net,test@test.com,99336
Olympia Chry-Jeep,68904,Yes,TRUE,TRUE,TRUE,TRUE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,vAuto,https://www.olympiajeep.com/,test@test.com,88101
Ontario Auto Ranch,27089,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.ontarioautoranchcdjr.com,test@test.com,83860
Perris Valley Dodge Jeep Chrysler,44039,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Team Velocity,Black Book,,,,,https://www.perrisvalleydodgejeepchrysler.com,test@test.com,97914
Pierce Auto Center,26836,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,EDPA Issue,,,,https://www.pierceautocenter.com,test@test.com,89801
Pierre Chrysler Dodge Jeep Ram of Hermiston,60903,No,TRUE,TRUE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer eProcess,Black Book,,,,,https://www.hermistonchryslerdodgejeepram.com,test@test.com,84701
Puente Hills Chrysler Dodge Jeep Ram,60459,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer Inspire,Black Book,,,,,https://www.puentehillscdjr.com/,test@test.com,95076
Putnam Chrysler Jeep Dodge,60435,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.putnam-dodge-chrysler-jeep.com,test@test.com,91801
